Nr.,Pardavimo s?skaitos data,Pardavimo s?skaitos serija,Kodas,Pavadinimas,Kiekis be mato,Matas,Kiekis,Pardavimo s?skaitos grup?,Pardavimo suma be PVM
966659.00,2018-11-12,AKU-1824936,A0015460835,Apsauginis gaubtas,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,1.63
966661.00,2018-11-12,AKU-1824936,A0025424019,Apsaugin? r?l?,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,32.98
966662.00,2018-11-12,AKU-1824936,A0115450726,Kontaktas,2.00,vnt.,2.00 vnt.,Vilniaus realizacija,2.98
966663.00,2018-11-14,AKU-1825092,04029,Rato veržl? M22 FEBI,4.00,vnt.,4.00 vnt.,Vilniaus servisas,6.04
966664.00,2018-11-12,AKU-1824936,A2205455428,Jungtis,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,2.21
966665.00,2018-11-12,AKU-1824936,A6015460044,Baterijos gnybtas plius,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,9.52
966666.00,2018-11-12,AKU-1824936,A9015410013,Laikiklis,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,15.44
966667.00,2018-11-12,AKU-1824936,A9065400023,Laikiklis AKB,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,109.50
966668.00,2018-11-12,AKU-1824936,A9065400150,Saugikli? blokas,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,33.46
966669.00,2018-11-12,AKU-1824936,A9065400241,Baterijos laidas minus,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,17.31
966670.00,2018-11-12,AKU-1824936,A9065841738,Lipdukas,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,6.08
966671.00,2018-11-12,AKU-1824936,N000000000412,Saugiklis 60A,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,2.44
966672.00,2018-11-12,AKU-1824936,N000000006620,Saugiklis 150A,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,2.77
966673.00,2018-11-12,AKU-1824958,A2741420180,Tarpin?,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,21.78
966675.00,2018-11-12,AKU-1824917,A90669008009B51,Apdaila k.p. centrin?,1.00,vnt.,1.00 vnt.,Kauno realizacija,61.40
966679.00,2018-11-12,AKU-1824917,A1768801044,Nr. laikiklis,1.00,vnt.,1.00 vnt.,Kauno realizacija,16.54
966682.00,2018-11-12,AKU-1824917,A20388500269999,Dangtelis,1.00,vnt.,1.00 vnt.,Kauno realizacija,10.64
966685.00,2018-11-12,AKU-1824917,A4518260118C22A,R?ko žibinto apdaila k.p.,1.00,vnt.,1.00 vnt.,Kauno realizacija,9.66
966688.00,2018-11-12,AKU-1824917,A22288500239999,Dangtelis,1.00,vnt.,1.00 vnt.,Kauno realizacija,15.04
966689.00,2018-11-12,AKU-1824917,A1768855500,Ortakis,1.00,vnt.,1.00 vnt.,Kauno realizacija,15.38
966690.00,2018-11-12,AKU-1824917,A1768855200,Apdengimas,1.00,vnt.,1.00 vnt.,Kauno realizacija,15.38
966691.00,2018-11-12,AKU-1824917,A20488532239999,Apdengimas,1.00,vnt.,1.00 vnt.,Kauno realizacija,10.61
966692.00,2018-11-12,AKU-1824917,A2514200177,Ranken?l? rank. st.,1.00,vnt.,1.00 vnt.,Kauno realizacija,4.95
966693.00,2018-11-14,AKU-1825099,A2034401808,Laidas,1.00,vnt.,1.00 vnt.,Kauno realizacija,14.78
966694.00,2018-11-12,AKU-1824917,A21286002089999,Apdengimas,1.00,vnt.,1.00 vnt.,Kauno realizacija,17.46
966696.00,2018-11-12,AKU-1824917,A1648847422,Apdengimas,1.00,vnt.,1.00 vnt.,Kauno realizacija,38.36
966697.00,2018-11-14,AKU-1825099,Q0012539V004C96A00,Jungiklis,1.00,vnt.,1.00 vnt.,Kauno realizacija,73.70
966698.00,2018-11-12,AKU-1824917,A16969302849051,Laikiklis,1.00,vnt.,1.00 vnt.,Kauno realizacija,12.24
966699.00,2018-11-14,AKU-1825092,4.50221,Stabdži? trinkel?s pirštas DT,4.00,vnt.,4.00 vnt.,Vilniaus servisas,30.48
966700.00,2018-11-12,AKU-1824917,A2058850721,Apdailos juosta,1.00,vnt.,1.00 vnt.,Kauno realizacija,59.23
966701.00,2018-11-12,AKU-1824917,A16374700879B96,Apdengimas Stop papildomo žibinto,1.00,vnt.,1.00 vnt.,Kauno realizacija,23.27
966721.00,2018-11-15,AKU-1825196,A96088568747G99,Apdengimas k.p. ,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,76.08
966722.00,2018-11-15,AKU-1825196,A96088569747G99,Bamperio uždengimas d.p. MP4,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,76.08
966724.00,2018-11-12,AKU-1824981,A0015426818,ABS daviklis priek./ašies kampu 1350,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,60.38
966735.00,2018-11-14,AKU-1825087,A0039805464,Spoilerio amortizatorius MP4,2.00,vnt.,2.00 vnt.,Vilniaus realizacija,19.00
966756.00,2018-11-16,AKU-1825354,A96088569747G99,Bamperio uždengimas d.p. MP4,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,76.08
966794.00,2018-11-14,AKU-1825063,A21988003059197,Apdengimas,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,20.66
966795.00,2018-11-14,AKU-1825063,A21988004059197,Dangtelis,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,20.66
966797.00,2018-11-12,AKU-1824935,A2760902182,Žarna oro,1.00,vnt.,1.00 vnt.,Kauno realizacija,20.38
966805.00,2018-11-15,AKU-1825219,A4372680142,Ranken?l?,1.00,vnt.,1.00 vnt.,Kauno realizacija,2.52
966806.00,2018-11-15,AKU-1825219,A0039976136,Vožtuvas. stabdži? sistemos,1.00,vnt.,1.00 vnt.,Kauno realizacija,187.60
966808.00,2018-11-12,AKU-1824918,182853,Dirželis laidams 3.6x205 BERNER,8.00,vnt.,8.00 vnt.,Vilniaus servisas,0.28
966809.00,2018-11-12,AKU-1824918,A9064200338,Rankinio lyn? skirstytuvas,1.00,vnt.,1.00 vnt.,Vilniaus servisas,29.90
966816.00,2018-11-15,AKU-1825179,A0055456214,Daviklis,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,77.85
966817.00,2018-11-13,AKU-1825014,A2518851923,R?melis bamperio groteli? k.p.,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,42.41
966819.00,2018-11-14,AKU-1825140,A0009917940,Fiksatorius,1.00,vnt.,1.00 vnt.,Kauno realizacija,1.12
966820.00,2018-11-14,AKU-1825140,A0039970486,Kaištis,3.00,vnt.,3.00 vnt.,Kauno realizacija,1.11
966822.00,2018-11-14,AKU-1825140,N000000000888,Varžtas,20.00,vnt.,20.00 vnt.,Kauno realizacija,10.58
966834.00,2018-11-16,AKU-1825337,256-325,Duslintuvo sandarinimo žiedas BOSAL,1.00,vnt.,1.00 vnt.,Vilniaus servisas,3.73
966835.00,2018-11-16,AKU-1825337,P1538,Aušinimo skys?io siurblys HEPU,1.00,vnt.,1.00 vnt.,Vilniaus servisas,78.23
966838.00,2018-11-12,AKU-1824885,336815,Jungtis užsilydanti Duraseal raud. BERNER,4.00,vnt.,4.00 vnt.,Vilniaus servisas,2.19
966839.00,2018-11-13,AKU-1825022,32818,+Oro pagalv? FEBI,1.00,vnt.,1.00 vnt.,Kauno servisas,72.74
966841.00,2018-11-13,AKU-1825022,N000000005915,Veržl? M24x1.5 siaura,1.00,vnt.,1.00 vnt.,Kauno servisas,1.08
966842.00,2018-11-13,AKU-1825022,284.080,Pakabinamas guolis Atego CEI,1.00,vnt.,1.00 vnt.,Kauno servisas,50.49
966843.00,2018-11-13,AKU-1825048,726012,Veidrodžio stiklas k.p. mažas TANGDE,1.00,vnt.,1.00 vnt.,Kauno servisas,15.08
966848.00,2018-11-13,AKU-1825048,2.73215,Veidrodžio stiklas DT,1.00,vnt.,1.00 vnt.,Kauno servisas,46.59
966849.00,2018-11-12,AKU-1824967,A9603202017,Oro pagalv? priekinio tilto,2.00,vnt.,2.00 vnt.,Vilniaus realizacija,546.89
966856.00,2018-11-14,AKU-1825072,001PL19619000,Švaistiklinis ind?klas Actros STD 2vnt. MAHLE,6.00,vnt.,6.00 vnt.,Kauno servisas,180.35
966861.00,2018-11-12,AKU-1824912,A6460500249,Žvaigždut?,1.00,vnt.,1.00 vnt.,Kauno realizacija,86.02
966862.00,2018-11-12,AKU-1824912,A6420521701,Žvaigždut?,1.00,vnt.,1.00 vnt.,Kauno realizacija,48.52
966863.00,2018-11-12,AKU-1824912,A6420500803,Alk?ninio veleno žvaigždut?,1.00,vnt.,1.00 vnt.,Kauno realizacija,96.86
966864.00,2018-11-13,AKU-1825022,26881,Išilgin? vairo trauk? FEBI,1.00,vnt.,1.00 vnt.,Kauno servisas,92.18
966865.00,2018-11-13,AKU-1825022,1S2760201,Resiveris 20L 276x411.5 HOBI,1.00,vnt.,1.00 vnt.,Kauno servisas,35.11
966871.00,2018-11-14,AKU-1825097,A9435450907,Jungiklis 12V,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,46.52
966880.00,2018-11-12,AKU-1825002,SS20210,Daviklis rato ABS DELPHI,1.00,vnt.,1.00 vnt.,Šiauli? servisas,22.03
966881.00,2018-11-13,AKU-1825022,1S1440050,Resiveris 5.4L HOBI,1.00,vnt.,1.00 vnt.,Kauno servisas,14.93
966882.00,2018-11-13,AKU-1825022,16665,Trinkel?s stabdži? FEBI (+0004202482),1.00,vnt.,1.00 vnt.,Kauno servisas,74.98
966883.00,2018-11-12,AKU-1824885,182853,Dirželis laidams 3.6x205 BERNER,5.00,vnt.,5.00 vnt.,Vilniaus servisas,0.18
966890.00,2018-11-12,AKU-1824915,620V,Varinis žiedas 14x20x1.5 BERNER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.30
966893.00,2018-11-14,AKU-1825087,A0049948345,Fiksatorius oro pagalv?s,4.00,vnt.,4.00 vnt.,Vilniaus realizacija,2.26
966897.00,2018-11-15,AKU-1825219,A0004203155,Nuorinimo taškas,2.00,vnt.,2.00 vnt.,Kauno realizacija,69.92
966899.00,2018-11-13,AKU-1825022,12378,Tiesi jungtis 1.5 - 2.5 mm². 6.3x0.8 Plokš?ia. M?l. BERNER ,2.00,vnt.,2.00 vnt.,Kauno servisas,0.60
966903.00,2018-11-13,AKU-1824992,Z LTF-17LG K,Krone žib. galinis 5 sek. trik. skaidr. liz. gale lg k.p.,1.00,vnt.,1.00 vnt.,Kauno servisas,97.48
966914.00,2018-11-13,AKU-1824992,500082,Greita oro jungtis met/pl. 8mm SISTEM PNEUMATICA,1.00,vnt.,1.00 vnt.,Kauno servisas,2.22
966917.00,2018-11-13,AKU-1825022,10-01-04-0536,Stabdži? suporto RMK K000472 MP2(SN6..SN7) naujesnio tipo suportams BENEFIT,1.00,vnt.,1.00 vnt.,Kauno servisas,16.88
966918.00,2018-11-13,AKU-1825022,076.244-00A,Sandarinimo žiedas su poveržle 16mm PE,2.00,vnt.,2.00 vnt.,Kauno servisas,1.18
966928.00,2018-11-12,AKU-1824893,66713,Daiktad?ž?s trosas k.p. AUGER,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,3.92
966932.00,2018-11-13,AKU-1825022,DANGT,Dangtelis apsaugai nuo palindimo (naudotas),2.00,vnt.,2.00 vnt.,Kauno servisas,13.60
966933.00,2018-11-15,AKU-1825187,A0028600269,Saugos diržo sagtis (naudota),1.00,vnt.,1.00 vnt.,Šiauli? realizacija,30.00
966934.00,2018-11-14,AKU-1825089,A44788000827F24,Apdaila viršutin?,1.00,vnt.,1.00 vnt.,Kauno realizacija,80.47
966935.00,2018-11-14,AKU-1825089,A44788801239051,Grotel?s,1.00,vnt.,1.00 vnt.,Kauno realizacija,151.84
966936.00,2018-11-14,AKU-1825089,A44788805857F24,Apdaila,1.00,vnt.,1.00 vnt.,Kauno realizacija,101.93
966937.00,2018-11-14,AKU-1825089,A44788800519775,Groteli? apdaila,1.00,vnt.,1.00 vnt.,Kauno realizacija,59.01
966939.00,2018-11-14,AKU-1825089,A2078880260,Laikiklis emblemos,1.00,vnt.,1.00 vnt.,Kauno realizacija,21.64
966940.00,2018-11-14,AKU-1825089,A2078170016,Ženklas ,1.00,vnt.,1.00 vnt.,Kauno realizacija,36.10
966941.00,2018-11-14,AKU-1825092,A0001400594,+Filtriukas ADBLUE,2.00,vnt.,2.00 vnt.,Vilniaus servisas,12.92
966943.00,2018-11-14,AKU-1825098,A0039977494,Alyvos siurblio grandin?,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,24.99
966944.00,2018-11-14,AKU-1825098,A6420502600,Slopintuv? kompl.,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,38.46
966945.00,2018-11-14,AKU-1825089,A44788801857F24,Juostel? apdailos chrom. virš. k.p.,1.00,vnt.,1.00 vnt.,Kauno realizacija,37.55
966946.00,2018-11-13,AKU-1825048,1676400,Išsipl?timo bakelis VOLVO OE,1.00,vnt.,1.00 vnt.,Kauno servisas,118.72
966947.00,2018-11-14,AKU-1825098,A6460500249,Žvaigždut?,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,80.64
966948.00,2018-11-14,AKU-1825098,A6420521701,Žvaigždut?,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,45.48
966949.00,2018-11-14,AKU-1825098,A6420500803,Alk?ninio veleno žvaigždut?,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,90.81
966950.00,2018-11-14,AKU-1825098,A6420500311,?temp?jas,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,82.68
966951.00,2018-11-14,AKU-1825098,A6420300372,Balansyras,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,75.58
966953.00,2018-11-14,AKU-1825089,A44788802857F24,Juostel? apdailos chrom. virš. d.p.,1.00,vnt.,1.00 vnt.,Kauno realizacija,37.55
966955.00,2018-11-12,AKU-1824915,L2825,Lemput? 12V 5W be cokolio OSRAM,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.47
966956.00,2018-11-14,AKU-1825089,A44788803857F24,Juostel? apdailos chrom. apat. k.p.,1.00,vnt.,1.00 vnt.,Kauno realizacija,37.55
966959.00,2018-11-14,AKU-1825089,A44788804857F24,Juostel? apdailos chrom. apat. d.p.,1.00,vnt.,1.00 vnt.,Kauno realizacija,37.55
966967.00,2018-11-12,AKU-1824915,TE10W40MOBILXHP,Alyva variklin? Delvac XHP ESP 10w-40 MOBIL 208L.,14.00,l.,14.00 l.,Vilniaus servisas,49.00
966984.00,2018-11-15,AKU-1825161,97330,Varžtas M6x20 BERNER,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.07
966987.00,2018-11-15,AKU-1825161,8940,Poveržl? M6.0x15 BERNER,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.03
967016.00,2018-11-14,AKU-1825116,A6480780781,Žarna,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,9.66
967017.00,2018-11-14,AKU-1825116,A648070098164,Vamzdelis,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,14.64
967019.00,2018-11-14,AKU-1825116,A648070108164,Vamzdelis,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,9.97
967020.00,2018-11-14,AKU-1825116,A0069971890,S?varža,5.00,vnt.,5.00 vnt.,Vilniaus realizacija,5.07
967021.00,2018-11-14,AKU-1825116,A0049972090,S?varža,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,1.08
967023.00,2018-11-13,AKU-1825045,330076T,Plomba švinin?,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
967026.00,2018-11-14,AKU-1825116,A6480701181,Vamzdelis,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,13.53
967027.00,2018-11-13,AKU-1824992,J LTF-17,Žib. gal. jungtis HELLA,1.00,vnt.,1.00 vnt.,Kauno servisas,14.51
967031.00,2018-11-14,DKS-0008101,A2194920080,Tarpiklis,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,8.60
967039.00,2018-11-12,AKU-1824896,39537,Duslintuvo sujungimo apkaba HOBI,1.00,vnt.,1.00 vnt.,Vilniaus servisas,1.96
967041.00,2018-11-12,AKU-1824896,26228,?vor? pr. stabilizatoriaus vidin? 36x60-47 FEBI,2.00,vnt.,2.00 vnt.,Vilniaus servisas,7.97
967042.00,2018-11-14,AKU-1825092,4.50221,Stabdži? trinkel?s pirštas DT,4.00,vnt.,4.00 vnt.,Vilniaus servisas,30.48
967043.00,2018-11-14,AKU-1825092,4.91137,Stabdži? kalad?li? antd?klai STD DT,1.00,vnt.,1.00 vnt.,Vilniaus servisas,51.14
967045.00,2018-11-14,AKU-1825175,A4710901937,Oro vamzdis,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,91.19
967046.00,2018-11-12,AKU-1824896,26.0305,Išmetimo bakelis TRUCK DABSTER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,142.21
967047.00,2018-11-12,AKU-1824896,53281,Priekinis išmetimo vamzdis DINEX,1.00,vnt.,1.00 vnt.,Vilniaus servisas,35.75
967065.00,2018-11-12,AKU-1824838,TEGL5FUCHS,Alyva 80W90 GL-5 FUCHS TITAN SUPERGEAR,2.50,l.,2.50 l.,Šiauli? servisas,6.92
967067.00,2018-11-12,AKU-1824838,13515,Autolemput? T4W 24V OSRAM,2.00,vnt.,2.00 vnt.,Šiauli? servisas,1.34
967070.00,2018-11-12,AKU-1824890,DET12301,Stabdži? kalad?l?s,1.00,vnt.,1.00 vnt.,Vilniaus servisas,69.69
967072.00,2018-11-12,AKU-1824890,DET12302,Stabdži? kalad?l?s,1.00,vnt.,1.00 vnt.,Vilniaus servisas,62.94
967073.00,2018-11-12,AKU-1824890,DET12303,Alyva 5W-30,8.00,vnt.,8.00 vnt.,Vilniaus servisas,71.93
967074.00,2018-11-12,AKU-1824890,DET12304,Tepalo filtras,1.00,vnt.,1.00 vnt.,Vilniaus servisas,15.16
967075.00,2018-11-12,AKU-1824890,DET12305,Salono filtras,1.00,vnt.,1.00 vnt.,Vilniaus servisas,38.76
967076.00,2018-11-12,AKU-1824890,DET12306,Oro filtras,1.00,vnt.,1.00 vnt.,Vilniaus servisas,25.84
967077.00,2018-11-12,AKU-1824890,REST12301,Pr. stabdži? kalad?li? keitimas,1.30,val.,1.30 val.,Vilniaus servisas,39.00
967079.00,2018-11-12,AKU-1824890,REST12302,Gal. stabdži? kalad?li? keitimas,1.30,val.,1.30 val.,Vilniaus servisas,39.00
967080.00,2018-11-12,AKU-1824890,REST12303,Alyvos keitimas,0.50,val.,0.50 val.,Vilniaus servisas,15.00
967081.00,2018-11-12,AKU-1824890,REST12304,Oro filtro keitimas,0.20,val.,0.20 val.,Vilniaus servisas,6.00
967082.00,2018-11-12,AKU-1824890,REST12305,Salono filtro keitimas,0.20,val.,0.20 val.,Vilniaus servisas,6.00
967083.00,2018-11-12,AKU-1824890,REST12306,Kondicionieriaus patikra-papyldimas,2.00,val.,2.00 val.,Vilniaus servisas,60.00
967085.00,2018-11-13,AKU-1825022,076.817-00A,+Energoakumuliatorius 20/24 PE,2.00,vnt.,2.00 vnt.,Kauno servisas,155.15
967086.00,2018-11-13,AKU-1825022,4553,Veržl? M10 BERNER,1.00,vnt.,1.00 vnt.,Kauno servisas,0.16
967090.00,2018-11-12,AKU-1824969,13528B,Saugiklis pailgas 8A baltas,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.18
967091.00,2018-11-13,AKU-1825022,98256,Varžtas M10 x 100,1.00,vnt.,1.00 vnt.,Kauno servisas,1.21
967094.00,2018-11-12,AKU-1824968,93087900,+Stabdži? diskas TEXTAR,2.00,vnt.,2.00 vnt.,Kauno servisas,146.16
967095.00,2018-11-12,AKU-1824968,16665,Trinkel?s stabdži? FEBI (+0004202482),1.00,vnt.,1.00 vnt.,Kauno servisas,79.40
967098.00,2018-11-13,AKU-1825022,20491,Duslintuvas VANSTAR,1.00,vnt.,1.00 vnt.,Kauno servisas,220.93
967099.00,2018-11-13,AKU-1825023,9028635A,*Siurblys cirkuliacinis U4847 Axial 24V Thermo PRO 50 ECO WEBASTO,1.00,vnt.,1.00 vnt.,Kauno servisas,201.01
967102.00,2018-11-13,AKU-1824990,64301602510,Cilindras,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,35.97
967103.00,2018-11-13,AKU-1824990,CAAZA0050,Aušinimo skystis -35 žalias 5 kg,0.30,vnt.,0.30 vnt.,Klaip?dos servisas,2.07
967104.00,2018-11-15,AKU-1825211,RE44128,Detali? plovimas,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,12.89
967105.00,2018-11-14,AKU-1825115,086.103-00A,Stabdži? antd?klai PE,1.00,kompl.,1.00 kompl.,Šiauli? servisas,42.80
967110.00,2018-11-12,AKU-1824969,07815,Atbulin?s pavaros jungiklis FEBI,1.00,vnt.,1.00 vnt.,Vilniaus servisas,20.85
967115.00,2018-11-12,AKU-1824896,8PK2045,Dirželis DAYCO,1.00,vnt.,1.00 vnt.,Vilniaus servisas,19.10
967116.00,2018-11-13,AKU-1825022,N000000005915,Veržl? M24x1.5 siaura,1.00,vnt.,1.00 vnt.,Kauno servisas,1.08
967118.00,2018-11-12,AKU-1824968,32818,+Oro pagalv? FEBI,1.00,vnt.,1.00 vnt.,Kauno servisas,77.02
967119.00,2018-11-12,AKU-1824968,N000000005915,Veržl? M24x1.5 siaura,1.00,vnt.,1.00 vnt.,Kauno servisas,1.15
967124.00,2018-11-15,AKU-1825237,32818,+Oro pagalv? FEBI,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,66.75
967149.00,2018-11-14,AKU-1825115,0486000134000,Daviklis ABS kampu kompl. 400 mm KNORR,1.00,vnt.,1.00 vnt.,Šiauli? servisas,15.71
967158.00,2018-11-15,AKU-1825190,L64215,Lemput? H7 24V 70W OSRAM,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,5.62
967159.00,2018-11-15,AKU-1825094,A0005453509,Stabdži? daviklis (varlyt?),3.00,vnt.,3.00 vnt.,Konkurs? projektai,139.61
967161.00,2018-11-13,AKU-1825022,076.244-00A,Sandarinimo žiedas su poveržle 16mm PE,1.00,vnt.,1.00 vnt.,Kauno servisas,0.59
967162.00,2018-11-15,AKU-1825161,SUN455,Aušinimo skystis raudonas -35 5kg G12,0.40,vnt.,0.40 vnt.,Klaip?dos servisas,4.05
967163.00,2018-11-14,AKU-1825155,220.197,Skersin? vairo trauk? CEI,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,127.40
967164.00,2018-11-14,AKU-1825155,05032,Stabilizatoriaus ?vor? FEBI,4.00,vnt.,4.00 vnt.,Klaip?dos servisas,25.74
967165.00,2018-11-14,AKU-1825155,11385,Stabilizatoriaus ?vor? 22x68x62 FEBI,2.00,vnt.,2.00 vnt.,Klaip?dos servisas,33.27
967176.00,2018-11-13,AKU-1825022,1397705,S?varža 104mm,1.00,vnt.,1.00 vnt.,Kauno servisas,3.22
967179.00,2018-11-13,AKU-1824990,136228,Universalus valiklis BREMSENREINIGER,1.00,l.,1.00 l.,Klaip?dos servisas,2.46
967180.00,2018-11-13,AKU-1824990,147707,Vario tepalas. aeroz. 400ml. BERNER,0.50,vnt.,0.50 vnt.,Klaip?dos servisas,4.38
967182.00,2018-11-12,AKU-1824897,9701500010,Sankabos stiprintuvas WABCO,1.00,vnt.,1.00 vnt.,Kauno servisas,816.00
967184.00,2018-11-15,AKU-1825253,05-01-00-1140,!+Automatin?s sankabos kompl. SACHS NAUJAS. NERESTAURUOTAS AKCIJA,1.00,vnt.,1.00 vnt.,Kauno servisas,595.50
967186.00,2018-11-15,AKU-1825190,L64215,Lemput? H7 24V 70W OSRAM,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,5.62
967202.00,2018-11-12,AKU-1824825,GUM P1,Stabdži? kranas,1.00,vnt.,1.00 vnt.,Šiauli? servisas,238.63
967215.00,2018-11-13,AKU-1825048,45932,Dangtelis išsipl?timo bakelio FEBI,1.00,vnt.,1.00 vnt.,Kauno servisas,7.43
967218.00,2018-11-13,AKU-1825048,2.15325,Dangtelis išsipl?timo bakelio DT,1.00,vnt.,1.00 vnt.,Kauno servisas,12.89
967222.00,2018-11-12,AKU-1824896,68.1025,?vor? ling?s Atego TRUCK DABSTER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,10.25
967262.00,2018-11-15,AKU-1825211,825,Varinis žiedas 16x22x1.5 BERNER,8.00,vnt.,8.00 vnt.,Klaip?dos servisas,1.90
967264.00,2018-11-15,AKU-1825211,582,Varinis žiedas 8x14x1 BERNER,20.00,vnt.,20.00 vnt.,Klaip?dos servisas,3.09
967266.00,2018-11-15,AKU-1825211,336815,Jungtis užsilydanti Duraseal raud. BERNER,2.00,vnt.,2.00 vnt.,Klaip?dos servisas,1.24
967267.00,2018-11-12,AKU-1824968,016.192-00A,ABS žiedas priekinis Actros PE,1.00,vnt.,1.00 vnt.,Kauno servisas,7.84
967268.00,2018-11-15,AKU-1825211,205184,Varinis žiedas 20x26x2,6.00,vnt.,6.00 vnt.,Klaip?dos servisas,9.33
967277.00,2018-11-14,AKU-1825092,14893,Rato smeig? M22x1.5-110 PE,2.00,vnt.,2.00 vnt.,Vilniaus servisas,3.60
967285.00,2018-11-16,AKU-1825337,532016010,Gen. diržo ritin?lis INA,2.00,vnt.,2.00 vnt.,Vilniaus servisas,13.18
967288.00,2018-11-12,AKU-1824897,A0009978134,Lizdas VOSS 232,1.00,vnt.,1.00 vnt.,Kauno servisas,9.69
967296.00,2018-11-12,AKU-1824897,L6423,Lemput? 24V 5W 35 mm pailga OSRAM,1.00,vnt.,1.00 vnt.,Kauno servisas,0.68
967301.00,2018-11-12,AKU-1824897,TD03-50-027,+Žibintas šoninio gabarito su jungtimi. geltonas LED 24V MEGA,1.00,vnt.,1.00 vnt.,Kauno servisas,6.90
967347.00,2018-11-13,AKU-1825023,12092,Plokš?ia t?tel? su kabliuku žalv. 6.3x0.8 BERNER,2.00,vnt.,2.00 vnt.,Kauno servisas,0.56
967352.00,2018-11-13,AKU-1825023,2X1.5,Kabelis lankstus 2x1.5mm,2.00,m.,2.00 m.,Kauno servisas,1.82
967373.00,2018-11-15,AKU-1825211,A0239976448,O žiedas purkštuko siurblio viršutinis,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,4.39
967376.00,2018-11-15,AKU-1825211,A0239976548,O žiedas purkštuko siurblio apatinis,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,4.33
967418.00,2018-11-16,AKU-1825367,5.13114,Stabilizatoriaus vidin? ?vor? DT,2.00,vnt.,2.00 vnt.,Kauno servisas,30.03
967426.00,2018-11-16,AKU-1825367,22889,Stabilizatoriaus ?vor? 20.3x60x52/60STA FEBI,2.00,vnt.,2.00 vnt.,Kauno servisas,30.38
967443.00,2018-11-15,AKU-1825253,A0139971447,*Alk?ninio veleno riebokšlis 402 U 120x140x13/12,1.00,vnt.,1.00 vnt.,Kauno servisas,42.09
967447.00,2018-11-15,AKU-1825253,35529,Sankabos šakut?s guoli? kompl. (2vnt) FEBI ,1.00,kompl.,1.00 kompl.,Kauno servisas,11.00
967493.00,2018-11-16,AKU-1825367,303305,S?varža žarnai Sx9 20-32 W2,2.00,vnt.,2.00 vnt.,Kauno servisas,5.28
967599.00,2018-11-12,AKU-1824968,A0139977346,Stebul?s riebokšlis pr. 120x150x15 ACT,2.00,vnt.,2.00 vnt.,Kauno servisas,51.05
967615.00,2018-11-13,AKU-1825049,336815,Jungtis užsilydanti Duraseal raud. BERNER,10.00,vnt.,10.00 vnt.,Klaip?dos servisas,6.56
